Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
ak,10840755,1,"Thursday, November  7, 2013 09:48:37 UTC",61.8340,-148.5325,1.3,16.60, 9,"Southern Alaska"
ci,11388618,2,"Thursday, November  7, 2013 09:43:47 UTC",35.0643,-118.3487,1.4,3.40,12,"Southern California"
nc,72102666,1,"Thursday, November  7, 2013 09:37:03 UTC",38.8265,-122.8105,1.6,1.90,24,"Northern California"
nc,72102661,1,"Thursday, November  7, 2013 09:32:52 UTC",38.8415,-122.8405,1.7,2.70,33,"Northern California"
se,110713a,A,"Thursday, November  7, 2013 09:20:07 UTC",35.5268,-84.5300,1.8,17.30,11,"eastern Tennessee"
ak,10840744,1,"Thursday, November  7, 2013 09:20:02 UTC",62.4565,-152.1025,2.0,100.00,21,"Central Alaska"
ci,11388610,3,"Thursday, November  7, 2013 09:19:09 UTC",32.2258,-115.2917,3.6,15.50,15,"Baja California, Mexico"
ak,10840742,2,"Thursday, November  7, 2013 09:11:56 UTC",60.5045,-152.3617,1.6,107.70,13,"Southern Alaska"
ak,10840734,1,"Thursday, November  7, 2013 08:56:54 UTC",62.0416,-150.4932,1.8,52.30,25,"Central Alaska"
ak,10840729,1,"Thursday, November  7, 2013 08:18:14 UTC",63.2647,-151.0730,1.8,7.20,15,"Central Alaska"
ak,10840723,1,"Thursday, November  7, 2013 07:49:27 UTC",61.5990,-147.8987,2.0,23.20,31,"Southern Alaska"
ci,11388578,2,"Thursday, November  7, 2013 07:47:08 UTC",33.4580,-116.8782,1.3,14.90,40,"Southern California"
ak,10840719,2,"Thursday, November  7, 2013 07:42:54 UTC",51.5459,-174.7056,3.2,41.00, 8,"Andreanof Islands, Aleutian Islands, Alaska"
pr,13311003,0,"Thursday, November  7, 2013 07:41:11 UTC",19.1312,-64.9698,2.8,17.00,12,"Virgin Islands region"
ci,11388562,2,"Thursday, November  7, 2013 07:22:05 UTC",32.6617,-115.7452,1.6,7.60,22,"Southern California"
ak,10840712,1,"Thursday, November  7, 2013 07:16:14 UTC",62.2705,-145.8683,1.8,6.30, 9,"Central Alaska"
ci,11388554,2,"Thursday, November  7, 2013 07:10:50 UTC",34.0465,-116.3293,1.2,12.90,22,"Southern California"
ak,10840702,2,"Thursday, November  7, 2013 06:54:59 UTC",62.0620,-150.4884,1.6,45.40,15,"Central Alaska"
pr,13311004,0,"Thursday, November  7, 2013 06:52:04 UTC",18.4792,-64.9876,3.3,96.00, 6,"Virgin Islands region"
